Name,URL,red,greenteal,blue,white,black,orangeyellow,purple,bars,stripes,circles,crosses,saltires,quarters,stars,crescents,triangles,contains_image,contains_text
Former Astana,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Astana.svg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Oskemen,https://upload.wikimedia.org/wikipedia/commons/7/7f/Oskemen_flag.jpg,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Bishkek,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Bishkek_Kyrgyzstan.svg,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Beirut,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_beirut.gif,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,7,0,0,0,0,0,0,TRUE,TRUE
Muscat,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_Muscat.svg,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE
Abu Dhabi,https://upload.wikimedia.org/wikipedia/commons/d/d8/Flag_of_Abu_Dhabi.svg,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,FALSE,FALSE
Dubai,https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Dubai.svg,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,FALSE,FALSE
Kathmandu,https://upload.wikimedia.org/wikipedia/commons/c/cc/Flag_of_Kathmandu.svg,,,,,,,,0,0,0,0,0,0,0,0,0,TRUE,FALSE
Ejmiatsin,https://upload.wikimedia.org/wikipedia/commons/8/8d/Flag_of_Ejmiatsin.jpg,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,1,0,1,0,0,0,0,TRUE,TRUE
Yerevan,https://upload.wikimedia.org/wikipedia/commons/3/3f/Yerevan_flag.gif,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Ambrolauri,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Ambrolauri_%28City%29.svg,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Akhaltsikhe,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Akhaltsikhe_%28City%29.svg,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,2,0,0,0,0,0,0,0,TRUE,FALSE
Batumi,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Batumi.svg,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,7,3,0,0,0,0,0,0,TRUE,FALSE
Gori,https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Gori%2C_Georgia.svg,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,1,0,0,0,1,TRUE,FALSE
Kutaisi,https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kutaisi%2C_Georgia.svg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,5,0,0,0,0,FALSE,FALSE
Poti,https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_Poti.svg,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2,0,0,0,0,0,0,0,0,TRUE,FALSE
Rustavi,https://upload.wikimedia.org/wikipedia/commons/2/25/Flag_of_Rustavi.svg,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0,TRUE,FALSE
Tbilisi,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Tbilisi.svg,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,7,0,0,TRUE,FALSE
